Short_Annotation	Category	Class	Sub_class
Hex3Cer	Glycosphingolipids	Neutral glycosphingolipids	Trihexosylceramides
PIP2	Phosphoinositides	Inositol phospholipids (bis-phosphates)	"Phosphatidylinositol 4,5-bisphosphate species"
Cm	Prenol Lipids	Polyprenols	Dolichols
Co	Prenol Lipids	Quinones and hydroquinones	Coenzyme Q (ubiquinones)
Zy	Prenol Lipids	Sterol precursors	Zymosterols
CerP	Sphingolipids	Ceramides	Ceramide phosphates
CerPE	Sphingolipids	Ceramides	Ceramide phosphoethanolamines
CerPG	Sphingolipids	Ceramides	Ceramide phosphoglycerols
CerPI	Sphingolipids	Ceramides	Ceramide phosphoinositols
Cer	Sphingolipids	Ceramides	N-acylsphingosines
SPHP	Sphingolipids	Sphingoid base phosphates	Sphinganine-1-phosphates
SPHG1	Sphingolipids	Sphingoid base phosphates	Sphingosine-1-phosphates
SPH	Sphingolipids	Sphingoid bases	Sphingosines
SL	Sphingolipids	Sphingolipids	Sphingolipids (general)
LSM	Sphingolipids	Sphingomyelins	Lysosphingomyelins
SM	Sphingolipids	Sphingomyelins	Sphingomyelins
ChE	Sterol Lipids	Sterol esters	Cholesteryl esters
ChE-D7	Sterol Lipids	Sterol esters	Cholesteryl esters (deuterated)
AcHexStE	Sterol Lipids	Sterol glycoside esters	Acetyl-hexosyl sterol esters
AcHexZyE	Sterol Lipids	Sterol glycoside esters	Acetyl-hexosyl zymosterol esters
Ch	Sterol Lipids	Sterols	Cholesterol
Ch-D7	Sterol Lipids	Sterols	Cholesterol (deuterated)
ST	Sterol Lipids	Sterols	Sterols (free form)
